x1,x2,y
0.6662111018388434,-1.6176080845190899,0
0.3168279105544319,-1.923159823913387,0
0.2615056901062011,-1.6185654890379158,0
0.2296291067119901,-1.8220159469710226,0
0.12466705779431271,-1.145281413618171,0
0.07572905623846538,-0.7785681853389713,1
0.555499422755573,-1.5494351192604798,0
0.23178289285706005,-1.4255598038936799,0
0.13687660185750786,-1.0361518791872117,0
0.3562969563156428,-1.7485844361815714,0
-0.5110704537409425,-1.3016804727078206,0
0.32741553600631157,-1.1293372542936007,1
0.6315800649299022,-1.2114496795351934,0
0.10096015676734746,-1.413312426963527,0
0.6453526021887694,-1.074018158643777,1
0.2281049205736514,-1.283808877865364,0
0.6797670878732344,-2.4247704117278737,0
0.10128747777385104,-0.8870727342263731,0
0.2281162936694727,-1.7108867544319812,0
0.3963629006625505,0.3093904756271296,1
0.15730490860971125,-1.37489930563975,0
-0.13314909338901418,-1.5399207587096448,1
0.14066791085969332,-1.924935111112076,0
-0.21166234723178096,-1.4537024620569123,0
0.3874687461542687,-1.583274042912639,0
-0.24045051928876032,-1.6416462571483383,0
-0.035291695099078424,-1.7740824138597804,0
0.8320507798757535,0.14690487914741246,1
0.20131898853002675,-1.2478218980906899,0
0.19970542427460516,-1.5207913703303053,0
0.7574254156998436,-1.2076345203805814,0
0.17208179893978326,-1.135888421712532,0
-0.4708398522382983,-1.6509584507429231,0
0.3092769337808514,-1.7389526832374718,0
0.5459128926551204,-0.8061599075320106,1
0.7022350486966572,-2.0711780314913217,0
0.41190412764590717,-1.049035630460551,0
-0.08816467332326272,-0.4417376892306923,1
-0.034907119972592215,-0.9289404401993882,1
-0.35403097192476596,-1.5695396382038571,0
0.4039730886323382,-1.1601577947089288,0
-0.018277002417507904,-0.21777379181034542,1
0.16075839062301034,-0.24016340098773364,1
0.5197384874965534,-1.5570164468418097,0
-0.27734576604260697,-1.4266460849521523,1
-0.01328781152563599,-2.0201003608529318,0
0.7805892021119478,-1.6445960025065567,0
0.6769657304680525,-1.9328809045671285,0
-0.2721750326252201,-1.1874023178183966,0
-0.11486489053857515,-0.655045317236233,1
0.4991758816213645,-1.6382822865615334,0
-0.18493049496160294,-0.689003409157801,1
-0.1444975033103832,-1.4370921663966751,0
0.24651057256905773,-1.418208929950573,0
0.348659075446097,-0.8423411837253282,1
0.28284896846180074,-0.7771992786375402,1
0.33792122500730803,-1.4179230541243792,0
0.38213147018260113,-0.9731386488844795,1
0.41166701034092357,-1.9742582940437439,0
0.34530810009715923,-0.1998623562034026,1
0.35821185069944333,-1.765869844924675,0
0.1354845061119212,-1.505919622914039,0
0.20505908606805612,-1.1041831792971137,1
